Age,Type,CO2
4.42,d11B,300.02
4.43,phytoplankton,290.48
4.437,phytoplankton,364.51
4.54,phytoplankton,344.52
4.58,phytoplankton,309.53
4.58,phytoplankton,334.3
4.5803,d11B,355.49
4.59081,phytoplankton,326.06
4.59258,phytoplankton,336.78
4.62,phytoplankton,343.03
4.624,phytoplankton,123.31
4.69,phytoplankton,317.29
4.75286,phytoplankton,425.6
4.78,phytoplankton,225.24
4.86,phytoplankton,236.36
4.86,d11B,429.87
4.93572,d11B,312.13
4.94,phytoplankton,252.04
4.94096,phytoplankton,341.62
4.97691,d11B,327.15
4.99853,d11B,319.94
5.00255,phytoplankton,334.89
5.009,phytoplankton,123.39
5.04,phytoplankton,238.46
5.05234,d11B,319.36
5.05768,d11B,391.88
5.11958,d11B,366.36
5.13346,phytoplankton,166.94
5.16889,d11B,310.38
5.17947,d11B,298.28
5.19,phytoplankton,245.96
5.19915,d11B,332.17
5.23413,d11B,307.05
5.26212,phytoplankton,311.66
5.264,phytoplankton,129.86
5.2724,d11B,382.4
5.29371,phytoplankton,341.22
5.3055,d11B,290.51
5.33,d11B,449.16
5.35876,d11B,332.84
5.38193,d11B,351.4
5.41684,d11B,299.97
5.45201,d11B,370.86
5.49403,d11B,344.07
5.53667,d11B,328.73
5.549,phytoplankton,131.55
5.56497,phytoplankton,235.24
5.57956,d11B,400.79
5.60156,d11B,299.25
5.65411,d11B,372.21
5.663,phytoplankton,130.92
5.70816,d11B,297.46
5.71484,d11B,302.06
5.76599,d11B,409.44
5.789,phytoplankton,105.09
5.799,phytoplankton,108.97
5.8,d11B,430.18
5.8074,d11B,294.7
5.81,d11B,312.26
5.823,phytoplankton,107.13
5.85219,d11B,283.05
5.85539,phytoplankton,299.68
5.8927,d11B,280.78
5.97138,d11B,302.78
6.00348,phytoplankton,402.12
6.0185,d11B,373.58
6.022,phytoplankton,202.55
6.03479,phytoplankton,243.12
6.06146,d11B,345.34
6.10294,d11B,359.41
6.106,phytoplankton,116.3
6.154,phytoplankton,111.87
6.19027,phytoplankton,350.39
6.215,phytoplankton,112.76
6.22933,d11B,413.74
6.261,phytoplankton,119.98
6.282,phytoplankton,119.59
6.29176,d11B,328.79
6.29889,d11B,381.47
6.305,phytoplankton,207.92
6.34643,d11B,376.37
6.361,phytoplankton,207.88
6.36967,phytoplankton,337.2
6.38508,d11B,309.75
6.406,phytoplankton,116.01
6.453,phytoplankton,119.35
6.45697,d11B,384.17
6.50465,d11B,320.68
6.507,phytoplankton,115.53
6.52515,phytoplankton,160.49
6.529,phytoplankton,121.13
6.54,d11B,382.21
6.56348,d11B,378.13
6.587,phytoplankton,124.03
6.58843,d11B,327.76
6.6046,d11B,434.23
6.63252,d11B,378.8
6.677,phytoplankton,127.74
6.707,phytoplankton,130.21
6.77237,d11B,408.27
6.78,phytoplankton,132.05
6.78753,d11B,333.75
6.843,phytoplankton,132.24
6.888,phytoplankton,128.44
6.93086,d11B,390.27
6.959,phytoplankton,134.63
7,d11B,420.68
7.00128,phytoplankton,503.35
7.049,phytoplankton,136.45
7.14028,phytoplankton,373.35
7.326,phytoplankton,235.77
7.609,phytoplankton,251.82
8.00036,phytoplankton,246.55
8.196,phytoplankton,275.74
8.45,d11B,402.55
8.56,d11B,489.26
8.924,phytoplankton,251.2
9.205,phytoplankton,235.97
9.24,d11B,441.19
9.293,phytoplankton,215.14
9.30814,phytoplankton,423.12
9.37,phytoplankton,220.66
9.421,phytoplankton,126.72
9.718,phytoplankton,276.94
9.836,phytoplankton,237.81
9.865,phytoplankton,115.88
9.87,d11B,313.36
9.941,phytoplankton,221.53
10.02,phytoplankton,133.96
10.114,phytoplankton,253.95
10.177,phytoplankton,148.22
10.241,phytoplankton,234.3
10.302,phytoplankton,230.54
10.33011,phytoplankton,285.05
10.364,phytoplankton,126.91
10.426,phytoplankton,117.8
10.478,phytoplankton,267.16
10.523,phytoplankton,136.2
10.6,d11B,359.52
10.706,phytoplankton,236.4
10.835,phytoplankton,125.21
11.189,phytoplankton,122.49
11.20048,phytoplankton,322.33
11.518,phytoplankton,227.96
11.54,d11B,353.79
11.579,phytoplankton,214.41
11.69787,d11B,445.73
11.733,phytoplankton,221.3
11.965,phytoplankton,219.21
12.037,phytoplankton,248.3
12.1,d11B,348.01
12.108,phytoplankton,139.78
12.185,phytoplankton,229
12.238,phytoplankton,247.75
12.28,phytoplankton,246.58
12.37458,d11B,338.74
12.46348,phytoplankton,375.31
12.468,phytoplankton,269.74
12.518,phytoplankton,136.13
12.52,d11B,298.99
12.588,phytoplankton,228.31
12.639,phytoplankton,229.57
12.691,phytoplankton,224.44
12.77405,d11B,388.96
12.777,phytoplankton,231.85
12.811,phytoplankton,138.44
12.85,phytoplankton,220.84
12.927,phytoplankton,210.79
12.983,phytoplankton,124.77
